model,problem,best,mean_cost,std_cost,mean_time,std_time,ARPD,RPD
average-swap,ft06,74,78.23333333333333,2.3900255693657804,2.016649826367696,0.14771070542802286,7.168949771689499,1.36986301369863
cut_crossfill-kswap,ft06,74,78.7,2.6727015047201466,3.9310282627741495,0.17966285380613994,7.8082191780821955,1.36986301369863
cut_crossfill-non_uniform,ft06,74,79.66666666666667,3.123388473365994,1.9259384552637735,0.164795630590978,9.132420091324207,1.36986301369863
average-uniform,ft06,74,79.1,2.1656407827707715,1.1440332174301147,0.15580346346585358,8.356164383561635,1.36986301369863
PSO,ft06,73,74.0,2.463060426921489,6.038288434346517,0.8806873490846644,1.36986301369863,0.0
SA,ft06,73,77.43333333333334,3.432038590821626,7.859187340736389,1.0919192154305617,6.073059360730599,0.0
average-swap,la01,1000,1165.2333333333333,49.78465850261727,54.028814625740054,5.948821570375296,20.00343288705802,2.9866117404737382
cut_crossfill-kswap,la01,1000,1097.3,46.263124264003906,90.18181841373443,2.5465165098990172,13.007209062821829,2.9866117404737382
cut_crossfill-non_uniform,la01,1007,1154.9666666666667,57.79301188052257,35.27519816557567,5.100230306653069,18.946103673189153,3.7075180226570548
average-uniform,la01,1166,1249.1666666666667,38.758296602863695,33.69427274068197,5.673761245150583,28.647442499141786,20.08238928939238
PSO,la01,1012,1088.5666666666666,50.81711216597111,138.2314279794693,18.895201884887243,12.10779265362169,4.222451081359424
SA,la01,1007,1128.4,60.28797558385917,198.59206868807476,18.795052789634294,16.210092687950574,3.7075180226570548
average-swap,la02,1089,1147.0333333333333,28.579110475232703,57.650560386975606,3.059487394981286,22.415510494485943,16.22198505869797
cut_crossfill-kswap,la02,984,1071.9333333333334,38.009589433311284,93.52240525881449,2.672523607351675,14.400569192458207,5.016008537886873
cut_crossfill-non_uniform,la02,967,1105.2,66.85975371377512,38.73300355275472,5.959874075828045,17.950907150480262,3.2017075773745995
average-uniform,la02,1101,1176.1,28.430441431676716,34.915672826766965,8.795113697859476,25.51760939167555,17.502668089647813
PSO,la02,961,1042.2666666666667,52.08322399988524,125.71403721173604,36.10514543449369,11.234436143721094,2.5613660618996796
SA,la02,962,1072.5666666666666,44.765822776856105,188.16420652071636,26.107806005509094,14.468160796869434,2.6680896478121667
average-swap,la03,842,940.0,46.44782018566641,44.04656965732575,5.808801120548747,14.634146341463413,2.682926829268293
cut_crossfill-kswap,la03,849,894.2,28.918736717452465,77.35182509422302,2.359404615869072,9.048780487804883,3.536585365853658
cut_crossfill-non_uniform,la03,868,942.9666666666667,36.743691824432794,29.107431308428446,2.964193439355968,14.995934959349597,5.853658536585367
average-uniform,la03,947,989.5666666666667,21.771056218954765,28.031640195846556,8.155396472884654,20.67886178861789,15.487804878048781
PSO,la03,829,878.6666666666666,30.94978011050949,110.76185563405355,18.38977955136563,7.154471544715442,1.097560975609756
