model,problem,cost,time,solution
average-swap,ft06,74,2.173369169235229,"[0, 16, 16, 37, 3, 44]"
average-swap,ft06,80,2.250934362411499,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,77,1.9731957912445068,"[0, 16, 17, 38, 3, 47]"
average-swap,ft06,80,1.8440847396850584,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,80,1.885120153427124,"[54, 12, 14, 35, 0, 43]"
average-swap,ft06,76,1.930159330368042,"[2, 18, 18, 39, 5, 46]"
average-swap,ft06,80,1.786034345626831,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,76,2.05576753616333,"[0, 16, 16, 37, 3, 46]"
average-swap,ft06,80,1.951176404953003,"[54, 12, 14, 35, 0, 43]"
average-swap,ft06,80,1.925154447555542,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,80,2.219907522201538,"[54, 12, 14, 35, 0, 43]"
average-swap,ft06,80,1.9401674270629885,"[54, 12, 14, 35, 0, 43]"
average-swap,ft06,80,1.8235678672790527,"[54, 12, 14, 35, 0, 43]"
average-swap,ft06,82,2.2889668941497803,"[56, 14, 16, 37, 2, 45]"
average-swap,ft06,75,1.9797017574310305,"[0, 17, 17, 38, 3, 45]"
average-swap,ft06,82,1.944671869277954,"[56, 14, 16, 37, 2, 45]"
average-swap,ft06,77,1.9186468124389648,"[2, 19, 21, 42, 43, 3]"
average-swap,ft06,74,2.069277286529541,"[0, 16, 16, 37, 3, 44]"
average-swap,ft06,80,1.9581842422485352,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,77,1.983707427978516,"[0, 16, 17, 38, 3, 47]"
average-swap,ft06,78,1.9326581954956048,"[2, 18, 18, 39, 5, 48]"
average-swap,ft06,80,2.1238255500793457,"[54, 12, 13, 34, 0, 43]"
average-swap,ft06,76,2.178372621536255,"[2, 18, 18, 39, 5, 46]"
average-swap,ft06,80,1.9736948013305664,"[54, 12, 14, 35, 0, 43]"
average-swap,ft06,80,1.7870368957519531,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,76,2.330002546310425,"[2, 19, 20, 41, 42, 3]"
average-swap,ft06,74,1.9351623058319087,"[0, 16, 16, 37, 3, 44]"
average-swap,ft06,75,1.995214939117432,"[1, 17, 18, 39, 4, 45]"
average-swap,ft06,80,2.078285217285156,"[54, 12, 14, 35, 0, 44]"
average-swap,ft06,78,2.26344633102417,"[0, 16, 18, 39, 3, 48]"
cut_crossfill-kswap,ft06,79,4.017952919006348,"[9, 22, 23, 44, 45, 0]"
